word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
déployer,VERB,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,18.0014,0.0,0.4293,C1,word_pos,déployer,V,déployer,VER
dérélictueuse,ADJ,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,dérélictueuse,A,,
embouteiller,VERB,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,embouteiller,V,embouteiller,VER
extirper,VERB,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,extirper,V,extirper,VER
extraordinairement,ADV,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,extraordinairement,ADV,extraordinairement,ADV
froissant,ADJ,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,froissant,A,froissant,ADJ
furtif,ADJ,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,furtif,A,furtif,ADJ
intercéder,VERB,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,intercéder,V,intercéder,VER
mousson,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,mousson,N,mousson,NOM
numériser,VERB,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,numériser,V,numériser,VER
oestrogène,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,oestrogène,N,oestrogène,NOM
ombreux,ADJ,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,ombreux,A,ombreux,ADJ
par bouffées,ADV,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,par bouffées,ADV,,
par le temps d' autrefois,ADV,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,par le temps d' autrefois,ADV,,
plancher,VERB,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,plancher,V,plancher,VER
pochoir,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,pochoir,N,pochoir,NOM
scanner,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,scanner,N,scanner,NOM
subsistance,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,subsistance,N,subsistance,NOM
transposer,VERB,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,transposer,V,transposer,VER
varangue,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,varangue,N,varangue,NOM
vertèbre,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,vertèbre,N,vertèbre,NOM
vibration,NOUN,C1,beacco,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,vibration,N,vibration,NOM
vélo,ADJ,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,vélo,A,,
éthéreuse,ADJ,C1,crf_first_attested,15.5058,0.273,0.0,0.0,0.0,0.0,15.5058,0.0,0.273,,,,,,,,,crf_only,éthéreuse,A,,
contre - modèle,NOUN,C1,crf_first_attested,14.3534,0.2527,0.0,0.0,0.0,0.0,14.3534,0.0,0.2527,,,,,,,,,crf_only,contre - modèle,N,,
effondrement,NOUN,C1,beacco,14.3534,0.2527,0.0,0.0,0.0,0.0,14.3534,0.0,0.2527,0.0,0.0,0.0,0.0,16.5561,0.0,0.3902,C1,word_pos,effondrement,N,effondrement,NOM
finances,NOUN,C1,crf_first_attested,13.3747,0.4932,0.0,0.0,0.0,0.0,13.3747,0.0,0.4932,,,,,,,,,crf_only,finances,N,,
calculateur,NOUN,C1,crf_first_attested,12.8336,0.266,0.0,0.0,0.0,0.0,12.8336,0.0,0.266,,,,,,,,,crf_only,calculateur,N,,
interdit,ADJ,C1,beacco,12.4046,5.6184,2.0787,1.1794,2.8098,0.0,12.4046,19.2455,5.6184,0.0,0.0,0.0,0.0,6.0005,19.328,0.2862,C1,word_pos,interdit,A,interdit,ADJ
